name,duration,release_date,album_name,explicit,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,primary_emotion,emotion_confidence,happy_score,sad_score,energetic_score,relaxed_score,melancholic_score,triumphant_score,ethereal_score
Fun (feat. Tove Lo),267.533,2015-12-04,A Head Full of Dreams,False,59,0.271,0.485,0.735,7.49e-06,0.0853,-5.125,0.0354,134.021,4,0.216,energetic,0.6358366666666665,0.4117841666666666,0.5882158333333333,0.6358366666666665,0.29064750000000006,0.5792158333333333,0.5037683333333333,0.27180000000000004
Kaleidoscope,111.853,2015-12-04,A Head Full of Dreams,False,54,0.964,0.288,0.285,0.897,0.406,-18.193,0.0355,127.122,4,0.148,sad,0.769765,0.230235,0.769765,0.38104,0.519295,0.619765,0.28507,0.7669
Army of One,376.826,2015-12-04,A Head Full of Dreams,False,58,0.275,0.387,0.659,6.44e-05,0.0861,-6.492,0.0434,146.048,4,0.287,energetic,0.6450266666666666,0.4416066666666667,0.5583933333333333,0.6450266666666666,0.31278,0.5037933333333333,0.5218133333333334,0.28240000000000004
Amazing Day,271.106,2015-12-04,A Head Full of Dreams,False,61,0.017,0.451,0.636,0.435,0.141,-5.796,0.0274,97.041,3,0.289,sad,0.6049325000000001,0.39506749999999996,0.6049325000000001,0.47037,0.44719749999999997,0.5365325000000001,0.431735,0.15990000000000001
Colour Spectrum,60.106,2015-12-04,A Head Full of Dreams,False,53,0.852,0.348,0.166,0.915,0.137,-20.349,0.0376,123.58,4,0.0337,sad,0.8769966666666666,0.12300333333333333,0.8769966666666666,0.2983033333333333,0.5647899999999999,0.7269966666666666,0.18584666666666666,0.7694599999999999
Up&Up,405.32,2015-12-04,A Head Full of Dreams,False,72,0.0488,0.479,0.717,0.000333,0.102,-5.459,0.0605,163.989,4,0.253,energetic,0.73043,0.4535575,0.5464425,0.73043,0.23212750000000001,0.5266425,0.561315,0.1587
A Head Full of Dreams,223.773,2015-12-04,A Head Full of Dreams Tour Edition,False,18,0.0021,0.449,0.92,0.0167,0.334,-4.982,0.0737,122.984,4,0.0772,melancholic,0.7271933333333332,0.37480666666666673,0.6251933333333333,0.6776666666666666,0.19798000000000002,0.7271933333333332,0.5038533333333334,0.10961
Birds,229.093,2015-12-04,A Head Full of Dreams Tour Edition,False,16,0.000315,0.559,0.841,0.437,0.0816,-5.584,0.0332,105.009,4,0.147,melancholic,0.6765924999999998,0.37800749999999994,0.6219924999999998,0.58523,0.29637749999999996,0.6765924999999998,0.47021500000000005,0.1184575
Hymn for the Weekend,258.266,2015-12-04,A Head Full of Dreams Tour Edition,False,26,0.211,0.491,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,4,0.412,sad,0.5198775000000001,0.48012249999999995,0.5198775000000001,0.48779,0.4608325,0.4856775000000001,0.492045,0.2152
Everglow,282.693,2015-12-04,A Head Full of Dreams Tour Edition,False,19,0.456,0.534,0.445,0.0684,0.112,-9.155,0.0292,146.107,4,0.136,sad,0.7131441666666666,0.28685583333333337,0.7131441666666666,0.5231233333333334,0.38943249999999996,0.5631441666666666,0.3759116666666667,0.46729999999999994
Adventure of a Lifetime,263.786,2015-12-04,A Head Full of Dreams Tour Edition,False,23,0.00205,0.638,0.924,0.000175,0.149,-3.887,0.036,111.995,4,0.53,energetic,0.6883166666666668,0.6385291666666666,0.3614708333333333,0.6883166666666668,0.3140125,0.46587083333333335,0.6682583333333334,0.029824999999999994
Fun (feat. Tove Lo),267.533,2015-12-04,A Head Full of Dreams Tour Edition,False,16,0.271,0.485,0.735,7.49e-06,0.0853,-5.125,0.0354,134.021,4,0.216,energetic,0.6358366666666665,0.4117841666666666,0.5882158333333333,0.6358366666666665,0.29064750000000006,0.5792158333333333,0.5037683333333333,0.27180000000000004
Kaleidoscope,111.853,2015-12-04,A Head Full of Dreams Tour Edition,False,13,0.964,0.288,0.285,0.897,0.406,-18.193,0.0355,127.122,4,0.148,sad,0.769765,0.230235,0.769765,0.38104,0.519295,0.619765,0.28507,0.7669
Army of One,376.826,2015-12-04,A Head Full of Dreams Tour Edition,False,15,0.275,0.387,0.659,6.44e-05,0.0861,-6.492,0.0434,146.048,4,0.287,energetic,0.6450266666666666,0.4416066666666667,0.5583933333333333,0.6450266666666666,0.31278,0.5037933333333333,0.5218133333333334,0.28240000000000004
Amazing Day,271.106,2015-12-04,A Head Full of Dreams Tour Edition,False,15,0.017,0.451,0.636,0.435,0.141,-5.796,0.0274,97.041,3,0.289,sad,0.6049325000000001,0.39506749999999996,0.6049325000000001,0.47037,0.44719749999999997,0.5365325000000001,0.431735,0.15990000000000001
Colour Spectrum,60.106,2015-12-04,A Head Full of Dreams Tour Edition,False,13,0.852,0.348,0.166,0.915,0.137,-20.349,0.0376,123.58,4,0.0337,sad,0.8769966666666666,0.12300333333333333,0.8769966666666666,0.2983033333333333,0.5647899999999999,0.7269966666666666,0.18584666666666666,0.7694599999999999
Up&Up,405.32,2015-12-04,A Head Full of Dreams Tour Edition,False,17,0.0488,0.479,0.717,0.000333,0.102,-5.459,0.0605,163.989,4,0.253,energetic,0.73043,0.4535575,0.5464425,0.73043,0.23212750000000001,0.5266425,0.561315,0.1587
Adventure of a Lifetime - Matoma Remix,250.714,2015-12-04,A Head Full of Dreams Tour Edition,False,19,0.00381,0.651,0.771,1.71e-05,0.238,-6.541,0.0313,112.015,4,0.456,energetic,0.6044833333333334,0.5482458333333333,0.4517541666666667,0.6044833333333334,0.3756625,0.4643541666666667,0.5774916666666667,0.079405
Hymn for the Weekend - Seeb Remix,212.647,2015-12-04,A Head Full of Dreams Tour Edition,False,40,0.00868,0.564,0.849,4.68e-06,0.12,-3.516,0.0517,102.028,4,0.427,energetic,0.6072933333333334,0.5459233333333332,0.45407666666666663,0.6072933333333334,0.35583,0.5134766666666666,0.5804466666666667,0.06424
